id_detalle_programacion,id_labor_mes,id_turno,id_area,fecha,tipo_dia,total_horas_laboradas,observaciones,created_at,updated_at,id_empleado,estado,id_usuario_registro,origen_registro
11813,1,14,1,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,6,Activo,,Automatico
11814,1,5,1,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,12,Activo,,Automatico
11815,1,14,1,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,18,Activo,,Automatico
11816,1,5,1,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,19,Activo,,Automatico
11817,1,14,1,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,22,Activo,,Automatico
11818,1,5,1,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,29,Activo,,Automatico
11819,1,8,2,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,2,Activo,,Automatico
11820,1,14,2,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,3,Activo,,Automatico
11821,1,15,2,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,5,Activo,,Automatico
11822,1,7,2,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,11,Activo,,Automatico
11824,1,14,2,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,14,Activo,,Automatico
11825,1,15,2,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,15,Activo,,Automatico
11827,1,8,2,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,20,Activo,,Automatico
11829,1,15,2,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,25,Activo,,Automatico
11830,1,7,2,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,26,Activo,,Automatico
11831,1,8,2,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,27,Activo,,Automatico
11832,1,14,2,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,31,Activo,,Automatico
11833,1,15,2,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,39,Activo,,Automatico
11834,1,9,3,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,9,Activo,,Automatico
11835,1,14,3,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,23,Activo,,Automatico
11836,1,8,3,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,32,Activo,,Automatico
11837,1,9,3,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,37,Activo,,Automatico
11839,1,7,4,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,13,Activo,,Automatico
11841,1,7,4,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,21,Activo,,Automatico
11843,1,7,4,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,24,Activo,,Automatico
11845,1,7,4,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,30,Activo,,Automatico
11847,1,7,4,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,33,Activo,,Automatico
11848,1,8,4,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,34,Activo,,Automatico
11850,1,8,4,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,38,Activo,,Automatico
11854,1,8,5,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,17,Activo,,Automatico
11860,1,15,6,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,8,Activo,,Automatico
11862,1,14,6,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,10,Activo,,Automatico
11867,1,8,6,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,16,Activo,,Automatico
11875,1,15,7,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,7,Activo,,Automatico
11880,1,14,7,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,28,Activo,,Automatico
11890,1,8,9,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,4,Activo,,Automatico
11906,1,14,9,2026-01-01,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,36,Activo,,Automatico
11944,1,5,1,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,6,Activo,,Automatico
11945,1,14,1,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,12,Activo,,Automatico
11946,1,5,1,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,18,Activo,,Automatico
11947,1,14,1,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,19,Activo,,Automatico
11948,1,5,1,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,22,Activo,,Automatico
11949,1,14,1,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,29,Activo,,Automatico
11950,1,14,2,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,2,Activo,,Automatico
11951,1,15,2,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,3,Activo,,Automatico
11952,1,7,2,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,5,Activo,,Automatico
11953,1,8,2,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,11,Activo,,Automatico
11955,1,15,2,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,14,Activo,,Automatico
11956,1,7,2,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,15,Activo,,Automatico
11958,1,14,2,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,20,Activo,,Automatico
11960,1,7,2,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,25,Activo,,Automatico
11961,1,8,2,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,26,Activo,,Automatico
11962,1,14,2,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,27,Activo,,Automatico
11963,1,15,2,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,31,Activo,,Automatico
11964,1,7,2,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,39,Activo,,Automatico
11965,1,14,3,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,9,Activo,,Automatico
11966,1,8,3,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,23,Activo,,Automatico
11967,1,9,3,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,32,Activo,,Automatico
11968,1,14,3,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,37,Activo,,Automatico
11970,1,8,4,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,13,Activo,,Automatico
11972,1,8,4,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,21,Activo,,Automatico
11974,1,8,4,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,24,Activo,,Automatico
11976,1,8,4,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,30,Activo,,Automatico
11978,1,8,4,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,33,Activo,,Automatico
11979,1,7,4,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,34,Activo,,Automatico
11981,1,7,4,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,38,Activo,,Automatico
11985,1,14,5,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,17,Activo,,Automatico
11991,1,8,6,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,8,Activo,,Automatico
11993,1,15,6,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,10,Activo,,Automatico
11998,1,14,6,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,16,Activo,,Automatico
12006,1,8,7,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,7,Activo,,Automatico
12011,1,15,7,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,28,Activo,,Automatico
12021,1,14,9,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,4,Activo,,Automatico
12037,1,15,9,2026-01-02,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,36,Activo,,Automatico
12075,1,14,1,2026-01-03,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,6,Activo,,Automatico
12076,1,5,1,2026-01-03,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,12,Activo,,Automatico
12077,1,14,1,2026-01-03,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,18,Activo,,Automatico
12078,1,5,1,2026-01-03,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,19,Activo,,Automatico
12079,1,14,1,2026-01-03,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,22,Activo,,Automatico
12080,1,5,1,2026-01-03,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,29,Activo,,Automatico
12081,1,15,2,2026-01-03,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,2,Activo,,Automatico
12082,1,7,2,2026-01-03,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,3,Activo,,Automatico
12083,1,8,2,2026-01-03,Laborado,,,2026-01-06 19:52:01.04,2026-01-06 19:52:01.04,5,Activo,,Automatico
